lambda,PsiT,PsiS
400,0.0001,0.0
402,0.0001,0.0
404,0.0001,0.0
406,0.0001,0.0
408,0.0,1e-05
410,0.0,1e-05
412,0.0,1e-05
414,0.0001,1e-05
416,0.0001,1e-05
418,0.0,1e-05
420,0.0,1e-05
422,0.0,0.0
424,0.0,0.0
426,0.0,0.0
428,0.0,0.0
430,0.0,0.0
432,0.0,0.0
434,0.0,0.0
436,0.0,0.0
438,0.0,0.0
440,0.0,0.0
442,0.0,0.0
444,0.0,0.0
446,0.0,0.0
448,0.0,0.0
450,0.0,0.0
452,0.0,0.0
454,0.0,0.0
456,0.0,0.0
458,0.0,0.0
460,0.0,0.0
462,0.0,0.0
464,0.0,0.0
466,0.0,0.0
468,0.0,0.0
470,0.0,0.0
472,0.0,0.0
474,0.0,0.0
476,0.0,0.0
478,0.0,0.0
480,0.0,-1e-05
482,0.0,-1e-05
484,0.0,-1e-05
486,0.0,-1e-05
488,0.0,-1e-05
490,0.0,-1e-05
492,0.0,-1e-05
494,0.0,-1e-05
496,0.0,-1e-05
498,0.0,-1e-05
500,0.0,-1e-05
502,0.0,-1e-05
504,0.0,-1e-05
506,0.0,-1e-05
508,0.0001,-1e-05
510,0.0001,-1e-05
512,0.0001,-1e-05
514,0.0001,-1e-05
516,0.0001,0.0
518,0.0001,0.0
520,0.0001,0.0
522,0.0001,0.0
524,0.0001,0.0
526,0.0001,0.0
528,0.0,0.0
530,0.0,0.0
532,0.0,0.0
534,0.0,0.0
536,0.0,0.0
538,0.0,0.0
540,0.0,0.0
542,0.0,-1e-05
544,0.0,-1e-05
546,0.0,0.0
548,0.0,0.0
550,0.0,0.0
552,0.0,0.0
554,0.0,0.0
556,0.0,0.0
558,0.0,0.0
560,0.0,-1e-05
562,0.0,-1e-05
564,0.0,-1e-05
566,0.0,-1e-05
568,0.0,-1e-05
570,0.0,-2e-05
572,0.0,-2e-05
574,0.0,-1e-05
576,0.0001,-1e-05
578,0.0001,-2e-05
580,0.0002,-2e-05
582,0.0002,-2e-05
584,0.0003,-2e-05
586,0.0004,-2e-05
588,0.0004,-2e-05
590,0.0005,-2e-05
592,0.0006,-2e-05
594,0.0008,-2e-05
596,0.0009,-2e-05
598,0.001,-2e-05
600,0.0011,-1e-05
602,0.0011,0.0
604,0.0011,1e-05
606,0.0011,2e-05
608,0.0011,3e-05
610,0.001,4e-05
612,0.0009,5e-05
614,0.0008,5e-05
616,0.0007,6e-05
618,0.0007,6e-05
620,0.0006,6e-05
622,0.0005,6e-05
624,0.0004,6e-05
626,0.0003,5e-05
628,0.0002,5e-05
630,0.0002,5e-05
632,0.0001,5e-05
634,0.0,5e-05
636,0.0,4e-05
638,0.0,4e-05
640,-0.0001,4e-05
642,-0.0001,3e-05
644,-0.0001,3e-05
646,-0.0001,3e-05
648,-0.0001,2e-05
650,0.0,2e-05
652,0.0,2e-05
654,0.0001,1e-05
656,0.0001,1e-05
658,0.0002,1e-05
660,0.0002,1e-05
662,0.0002,1e-05
664,0.0002,1e-05
666,0.0002,2e-05
668,0.0001,2e-05
670,0.0001,1e-05
672,0.0,1e-05
674,0.0,1e-05
676,-0.0001,0.0
678,-0.0001,-1e-05
680,-0.0001,-2e-05
682,-0.0002,-3e-05
684,-0.0002,-4e-05
686,-0.0002,-6e-05
688,-0.0001,-7e-05
690,-0.0001,-8e-05
692,-0.0001,-0.0001
694,0.0,-0.00011
696,0.0001,-0.00013
698,0.0002,-0.00015
700,0.0004,-0.00016
702,0.0006,-0.00017
704,0.0009,-0.00018
706,0.0012,-0.00019
708,0.0017,-0.0002
710,0.0022,-0.00021
712,0.0027,-0.00021
714,0.0033,-0.00021
716,0.004,-0.00022
718,0.0049,-0.00023
720,0.006,-0.00024
722,0.0071,-0.00025
724,0.0084,-0.00025
726,0.0096,-0.00026
728,0.0108,-0.00024
730,0.012,-0.00021
732,0.013,-0.00016
734,0.0139,-8e-05
736,0.0146,1e-05
738,0.015,0.00012
740,0.015,0.00027
742,0.0147,0.00041
744,0.0142,0.00054
746,0.0138,0.00066
748,0.0131,0.00078
750,0.0124,0.00089
